,Common Name,Scientific Name,Status,Taxon Group
1178,"Moccasinshell, Gulf",Medionidus penicillatus,Endangered,Clam
1179,"Moccasinshell, Ochlockonee",Medionidus simpsonianus,Endangered,Clam
1180,"Moccasinshell, Suwannee",Medionidus walkeri,Threatened,Clam
1181,"Monkeyface, Appalachian (pearlymussel)",Quadrula sparsa,Endangered,Clam
1182,"Monkeyface, Appalachian (pearlymussel)",Quadrula sparsa,XN,Clam
1183,"Monkeyface, Cumberland",Quadrula intermedia,Endangered,Clam
1184,"Monkeyface, Cumberland",Quadrula intermedia,XN,Clam
1185,"Monkeyface, Cumberland",Quadrula intermedia,XN,Clam
1186,"Mucket, Neosho",Lampsilis rafinesqueana,Endangered,Clam
1187,"Mucket, orangenacre",Lampsilis perovalis,Threatened,Clam
1188,"Mucket, pink (pearlymussel)",Lampsilis abrupta,Endangered,Clam
1189,"Mussel, oyster",Epioblasma capsaeformis,Endangered,Clam
1190,"Mussel, oyster",Epioblasma capsaeformis,XN,Clam
1191,"Mussel, oyster",Epioblasma capsaeformis,XN,Clam
1192,"Mussel, rayed bean",Villosa fabalis,Endangered,Clam
1193,"Mussel, scaleshell",Leptodea leptodon,Endangered,Clam
1194,"Pearlshell, Alabama",Margaritifera marrianae,Endangered,Clam
1195,"Pearlshell, Louisiana",Margaritifera hembeli,Threatened,Clam
1196,"Pearlymussel, birdwing",Lemiox rimosus,Endangered,Clam
1197,"Pearlymussel, birdwing",Lemiox rimosus,XN,Clam
1198,"Pearlymussel, birdwing",Lemiox rimosus,XN,Clam
1199,"Pearlymussel, cracking",Hemistena lata,Endangered,Clam
1200,"Pearlymussel, cracking",Hemistena lata,XN,Clam
1201,"Pearlymussel, cracking",Hemistena lata,XN,Clam
1202,"Pearlymussel, Curtis",Epioblasma florentina curtisii,Endangered,Clam
1203,"Pearlymussel, dromedary",Dromus dromas,Endangered,Clam
1204,"Pearlymussel, dromedary",Dromus dromas,XN,Clam
1205,"Pearlymussel, dromedary",Dromus dromas,XN,Clam
1206,"Pearlymussel, littlewing",Pegias fabula,Endangered,Clam
1207,"Pearlymussel, Nicklin's",Megalonaias nicklineana,Endangered,Clam
1208,"Pearlymussel, slabside",Pleuronaia dolabelloides,Endangered,Clam
1209,"Pearlymussel, Tampico",Cyrtonaias tampicoensis tecomatensis,Endangered,Clam
1210,"Pigtoe, Cumberland",Pleurobema gibberum,Endangered,Clam
1211,"Pigtoe, dark",Pleurobema furvum,Endangered,Clam
1212,"Pigtoe, finerayed",Fusconaia cuneolus,Endangered,Clam
1213,"Pigtoe, finerayed",Fusconaia cuneolus,XN,Clam
1214,"Pigtoe, finerayed",Fusconaia cuneolus,XN,Clam
1215,"Pigtoe, flat",Pleurobema marshalli,Endangered,Clam
1216,"Pigtoe, fuzzy",Pleurobema strodeanum,Threatened,Clam
1217,"Pigtoe, Georgia",Pleurobema hanleyianum,Endangered,Clam
1218,"Pigtoe, heavy",Pleurobema taitianum,Endangered,Clam
1219,"Pigtoe, narrow",Fusconaia escambia,Threatened,Clam
1220,"Pigtoe, oval",Pleurobema pyriforme,Endangered,Clam
1221,"Pigtoe, rough",Pleurobema plenum,Endangered,Clam
1222,"Pigtoe, rough",Pleurobema plenum,XN,Clam
1223,"Pigtoe, shiny",Fusconaia cor,Endangered,Clam
1224,"Pigtoe, shiny",Fusconaia cor,XN,Clam
1225,"Pigtoe, shiny",Fusconaia cor,XN,Clam
1226,"Pigtoe, southern",Pleurobema georgianum,Endangered,Clam
1227,"Pigtoe, tapered",Fusconaia burkei,Threatened,Clam
1228,"Pimpleback, orangefoot",Plethobasus cooperianus,Endangered,Clam
1229,"Pimpleback, orangefoot",Plethobasus cooperianus,XN,Clam
1230,"Pink, ring",Obovaria retusa,Endangered,Clam
1231,"Pink, ring",Obovaria retusa,XN,Clam
1232,"Pocketbook, fat",Potamilus capax,Endangered,Clam
1233,"Pocketbook, finelined",Lampsilis altilis,Threatened,Clam
1234,"Rock-pocketbook, Ouachita",Arkansia wheeleri,Endangered,Clam
1235,"Pocketbook, shinyrayed",Lampsilis subangulata,Endangered,Clam
1236,"Pocketbook, speckled",Lampsilis streckeri,Endangered,Clam
1237,Rabbitsfoot,Quadrula cylindrica cylindrica,Threatened,Clam
1238,"Rabbitsfoot, rough",Quadrula cylindrica strigillata,Endangered,Clam
1239,"Riffleshell, northern",Epioblasma torulosa rangiana,Endangered,Clam
1240,"Riffleshell, tan",Epioblasma florentina walkeri (=E. walkeri),Endangered,Clam
1241,"Sandshell, southern",Hamiota australis,Threatened,Clam
1242,Sheepnose,Plethobasus cyphyus,Endangered,Clam
1243,"Slabshell, Chipola",Elliptio chipolaensis,Threatened,Clam
1244,Snuffbox (mussel),Epioblasma triquetra,Endangered,Clam
1245,Spectaclecase,Cumberlandia monodonta,Endangered,Clam
1246,"Spinymussel, Altamaha",Elliptio spinosa,Endangered,Clam
1247,"Spinymussel, James",Pleurobema collina,Endangered,Clam
1248,"Spinymussel, Tar River",Elliptio steinstansana,Endangered,Clam
1249,Stirrupshell,Quadrula stapes,Endangered,Clam
1250,"Threeridge, fat",Amblema neislerii,Endangered,Clam
1251,"Wartyback, white",Plethobasus cicatricosus,Endangered,Clam
1252,"Wartyback, white",Plethobasus cicatricosus,XN,Clam
1253,"Wedgemussel, dwarf",Alasmidonta heterodon,Endangered,Clam
1254,"Abalone, Black",Haliotis cracherodii,Endangered,Snail
1255,"Abalone, white",Haliotis sorenseni,Endangered,Snail
1256,"Ambersnail, Kanab",Oxyloma haydeni kanabensis,Endangered,Snail
1257,"Campeloma, slender",Campeloma decampi,Endangered,Snail
1258,"Cavesnail, Tumbling Creek",Antrobia culveri,Endangered,Snail
1259,"Elimia, lacy",Elimia crenatella,Threatened,Snail
1260,"Hornsnail, rough",Pleurocera foremani,Endangered,Snail
1261,"Limpet, Banbury Springs",Lanx sp.,Endangered,Snail
1262,"Lioplax, cylindrical",Lioplax cyclostomaformis,Endangered,Snail
1263,"Marstonia, armored (snail)",Pyrgulopsis (=Marstonia) pachyta,Endangered,Snail
1264,"Marstonia, royal",Pyrgulopsis ogmorhaphe,Endangered,Snail
1265,"Pebblesnail, flat",Lepyrium showalteri,Endangered,Snail
1266,Pecos assiminea,Assiminea pecos,Endangered,Snail
1267,"Riversnail, Anthony's",Athearnia anthonyi,Endangered,Snail
1268,"Riversnail, Anthony's",Athearnia anthonyi,XN,Snail
1269,"Riversnail, Anthony's",Athearnia anthonyi,XN,Snail
1270,"Rocksnail, interrupted",Leptoxis foremani,Endangered,Snail
1271,"Rocksnail, painted",Leptoxis taeniata,Threatened,Snail
1272,"Rocksnail, plicate",Leptoxis plicata,Endangered,Snail
1273,"Rocksnail, round",Leptoxis ampla,Threatened,Snail
1274,"Snail, Bliss Rapids",Taylorconcha serpenticola,Threatened,Snail
1275,"Snail, Chittenango ovate amber",Succinea chittenangoensis,Threatened,Snail
1276,"Snail, flat-spired three-toothed",Triodopsis platysayoides,Threatened,Snail
1277,"Snail, fragile tree (Akaleha dogas, Denden)",Samoana fragilis,Endangered,Snail
1278,"Snail, Guam tree (Akaleha, Denden)",Partula radiolata,Endangered,Snail
1279,"Snail, humped tree (Akaleha, Denden)",Partula gibba,Endangered,Snail
1280,"Snail, Iowa Pleistocene",Discus macclintocki,Endangered,Snail
1281,"Snail, Lanai tree",Partulina semicarinata,Endangered,Snail
1282,"Snail, Lanai tree",Partulina variabilis,Endangered,Snail
1283,"Snail, Langford's tree (Akaleha, Denden)",Partula langfordi,Endangered,Snail
1284,"Snail, Manus Island tree",Papustyla pulcherrima,Endangered,Snail
1285,"Snail, Morro shoulderband (=Banded dune)",Helminthoglypta walkeriana,Endangered,Snail
1286,"Snail, Newcomb's",Erinna newcombi,Threatened,Snail
1287,"Snail, Newcomb's tree",Newcombia cumingi,Endangered,Snail
