"Symbol","Synonym Symbol","Scientific Name","Common Name","Status"
"CIHYH","","Cirsium hydrophilum (Greene) Jeps. var. hydrophilum","Suisun thistle","E"
"CILO","","Cirsium loncholepis Petr.","La Graciosa thistle","E"
"CIPI","","Cirsium pitcheri (Torr. ex Eaton) Torr. & A. Gray","Pitcher's thistle","T"
"CIVI4","","Cirsium vinaceum Woot. & Standl.","Sacramento Mountains thistle","T"
"CIPU5","","Cistanthe pulchella (Eastw.) Hershkovitz","",""
"CIPU5","CAPU28","Calyptridium pulchellum (Eastw.) Hoover","Mariposa pussypaws","T"
"CLPE5","","Cladonia perforata A. Evans","Florida perforate cladonia","E"
"CLFR3","","Clarkia franciscana F.H Lewis & P.H. Raven","Presidio clarkia","E"
"CLIM","","Clarkia imbricata F.H. Lewis & M.E. Lewis","Vine Hill clarkia","E"
"CLSPI","","Clarkia speciosa F.H. Lewis & M.E. Lewis ssp. immaculata F.H. Lewis & M.E. Lewis","Pismo clarkia","E"
"CLSP6","","Clarkia springvillensis Vasek","Springville clarkia","T"
"CLMO6","","Clematis morefieldii Kral","Morefield's leather flower","E"
"CLSO3","","Clematis socialis Kral","Alabama leather flower","E"
"CLDR2","","Clermontia drepanomorpha Rock","`oha wai","E"
"CLLI3","","Clermontia lindseyana Rock","`oha wai","E"
"CLOBB","","Clermontia oblongifolia Gaudich. ssp. brevipes (E. Wimm.) Lammers","`oha wai","E"
"CLOBM","","Clermontia oblongifolia Gaudich. ssp. mauiensis (Rock) Lammers","`oha wai","E"
"CLPE2","","Clermontia peleana Rock","`oha wai","E"
"CLPY2","","Clermontia pyrularia Hillebr.","`oha wai","E"
"CLSA5","","Clermontia samuelii Forbes","`oha wai","E"
"CLFR2","","Clitoria fragrans Small","pigeon wings","T"
"COOP","","Colubrina oppositifolia Brongn. ex Mann","kauila","E"
"COCA19","","Conradina canescens (Torr. & A. Gray ex Benth.) A. Gray","",""
"COCA19","COBR5","Conradina brevifolia Shinners","short-leaved rosemary","E"
"COET","","Conradina etonia Kral & McCartney","Etonia rosemary","E"
"COGL9","","Conradina glabra Shinners","Apalachicola rosemary","E"
"COVE4","","Conradina verticillata Jennison","Cumberland rosemary","T"
"COBE3","","Cordia bellonis Urb.","","E"
"COMAM3","","Cordylanthus maritimus Nutt. ex Benth. ssp. maritimus","salt marsh bird's-beak","E"
"COMOM","","Cordylanthus mollis A. Gray ssp. mollis","soft bird's-beak","E"
"COPA8","","Cordylanthus palmatus (Ferris) J.F. Macbr.","palmate-bracted bird's beak","E"
"COTEC","","Cordylanthus tenuis A. Gray ssp. capillaris (Pennell) T.I. Chuang & Heckard","Pennell's bird's-beak","E"
"COOB4","","Cornutia obovata Urb.","palo de nigua","E"
"CORA7","","Coryphantha ramillosa Cutak","bunched cory cactus","T"
"COROR","","Coryphantha robustispina (Schott ex Engelm.) Britton & Rose ssp. robustispina","",""
